,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
1581,35,2,2,10,4,25,323,2,1,2
1603,63,2,1,10,3,38,576,1,1,1
1605,29,2,1,10,2,55,577,2,1,1
1624,64,2,2,10,3,5,850,2,1,1
1635,58,1,1,10,5,40,538,2,1,3
1657,26,1,1,10,3,42,808,2,1,1
1658,26,2,1,10,2,35,856,2,1,1
1661,25,2,1,10,3,30,269,2,1,2
1662,27,1,1,10,2,55,529,2,1,3
1668,25,2,1,10,3,38,485,1,1,1
1669,36,1,1,10,5,57,577,1,1,6
1682,62,1,2,10,7,17,208,2,1,2
1685,67,1,2,10,8,26,277,2,1,3
1688,52,2,1,10,2,36,923,2,1,2
1690,58,2,1,10,2,34,615,1,1,2
1692,62,2,2,10,6,24,173,1,1,2
1696,50,1,1,10,3,32,360,1,1,4
1697,33,2,1,10,6,48,423,2,8,2
1698,70,2,2,10,4,30,692,1,1,5
1699,71,1,2,10,4,20,346,2,1,5
1707,49,2,1,10,6,40,423,2,1,3
1710,30,2,2,10,4,24,279,2,1,3
1716,56,1,1,10,5,40,738,2,1,1
1742,57,1,1,10,2,40,1923,2,1,1
1750,29,1,1,10,2,52,510,2,1,1
1751,29,2,2,10,6,9,46,1,1,2
1771,26,2,1,10,7,45,577,2,1,3
1780,57,2,1,10,2,42,1442,2,1,1
1782,36,1,1,10,5,40,962,2,1,3
1785,57,2,2,10,2,31,462,2,1,2
1786,63,1,1,10,2,22,577,2,1,2
1787,25,2,1,10,6,30,462,2,1,3
1819,64,1,1,10,4,45,712,2,1,1
1820,63,2,2,10,1,25,1538,2,1,3
1825,37,2,2,10,6,16,208,2,1,3
1833,50,1,1,10,1,55,1923,2,1,1
1836,57,2,2,10,2,16,231,2,1,1
1840,58,1,1,10,5,40,1385,2,1,4
1857,30,1,1,10,9,44,900,2,1,4
1862,56,1,1,10,9,36,808,1,1,3
1871,43,2,2,10,2,20,231,2,1,1
1872,47,1,1,10,8,38,462,2,1,4
1876,57,2,1,10,2,58,750,2,1,1
1877,55,1,1,10,2,42,738,2,1,3
1878,45,2,2,10,2,15,288,2,1,1
1879,47,1,1,10,2,44,961,2,1,1
1899,31,1,1,10,1,65,1058,2,1,3
1900,33,2,1,10,2,30,538,2,1,2
1905,36,1,1,10,4,37,615,2,1,4
1906,56,2,1,10,3,30,673,1,1,2
1910,56,2,2,10,6,30,320,2,1,6
1918,43,1,1,10,2,40,1596,2,1,1
1921,28,2,1,10,2,38,265,2,1,1
1922,34,1,2,10,3,21,346,2,1,1
1953,43,1,1,10,2,41,2769,2,1,1
1957,27,1,1,10,2,38,698,2,1,1
1958,27,2,1,10,3,38,173,2,1,1
1986,64,2,2,10,6,12,127,2,1,4
1997,38,2,1,10,2,37,1317,2,1,1
1998,48,1,2,10,7,18,198,2,1,4
2001,55,1,1,10,3,42,962,2,1,4
2002,54,2,1,10,6,40,500,2,1,3
2009,63,2,1,10,6,41,635,2,1,4
2011,51,2,1,10,1,32,478,1,1,2
2012,43,1,1,10,5,45,542,2,1,5
2014,63,1,2,10,8,31,577,1,1,5
2018,35,2,2,10,2,23,385,2,1,1
2019,33,1,1,10,2,43,673,2,1,1
2049,65,1,1,10,3,40,1346,2,1,2
2054,42,2,2,10,9,22,300,2,1,4
2055,42,1,1,10,9,36,529,2,1,5
